"group","metabolite"
1,"MUC15"
1,"S100A7A"
1,"SLCO3A1"
1,"SAA2"
1,"ZNF324B"
1,"LOC340090"
1,"SERPINB2"
1,"STEAP4"
1,"PRR19"
1,"PDLIM5"
1,"IKZF3"
1,"LGALS3"
1,"OLFM2"
1,"GOLGA6L24"
1,"LOC101928401"
1,"CHSY3"
1,"CRACDL"
1,"ROPN1"
1,"KRT6B"
1,"ACSL5"
1,"IL1RL2"
1,"LOC100421692"
1,"CHP1"
1,"PLAC9"
1,"DUSP8"
1,"SCFD2"
1,"BBS5"
1,"CLDN7"
1,"TCEA3"
1,"CMTM4"
1,"GRIA1"
1,"RNF135"
1,"LOC100287944"
1,"HLA-A"
1,"CASP10"
1,"RALY-AS1"
1,"DNAAF11"
1,"KALRN"
1,"FAM83E"
1,"SOX7"
1,"ATP5F1AP7"
1,"WWC1"
1,"FAM86C2P"
1,"GJB7"
1,"GPR78"
1,"NIPAL2"
1,"NTN1"
1,"LMO7"
1,"KCNK7"
1,"SUSD2"
1,"PROS1"
1,"WFDC12"
1,"LINC01914"
1,"ARHGEF26-AS1"
1,"RAB42"
1,"MARCHF3"
1,"CTXN1"
1,"FTCDNL1"
1,"RBP1"
1,"IGHV1-24"
1,"CAP1P2"
1,"COLQ"
1,"WFDC2"
1,"SRMS"
1,"FAM174B"
1,"AQP6"
1,"EWSAT1"
1,"RAB25"
1,"MED28P3"
1,"GAK"
1,"BMP8B"
1,"MARCHF2"
1,"GAB4"
1,"MUC6"
1,"NUPR2"
1,"KLK11"
1,"SLC24A3"
1,"TYMP"
1,"SLC25A28"
1,"GAN"
1,"VTCN1"
1,"LOC124905177"
1,"TMC1"
1,"TPM1"
1,"S100B"
1,"ALPG"
1,"NHERF2"
1,"LRMDA"
1,"MYO16-AS1"
1,"MAL2"
1,"S1PR2"
1,"TRPM4"
1,"MEIS2"
1,"LOC100421402"
1,"MYO5C"
1,"OBP2A"
1,"CCNA1"
1,"NADSYN1"
1,"CAMK1"
1,"FAM3D"
1,"RNU6-403P"
1,"LZTR1"
1,"TUBA3E"
1,"LOC729870"
1,"EXOC5P1"
1,"ASPHD2"
1,"RRS1"
1,"RPL7P60"
1,"NOP9"
1,"NAGK"
1,"VPS37C"
1,"FBXO24"
1,"LEFTY1"
1,"FBLN2"
1,"SLFN5"
1,"IL18R1"
1,"WNT6"
1,"RNASE6"
1,"CRYAB"
1,"IDO1"
1,"GCDH"
1,"MX1"
1,"NHIP"
1,"KLK10"
1,"PLPP2"
1,"CHPT1"
1,"KCNC3"
1,"MTMR8"
1,"CFAP73"
1,"TMEM214"
1,"VSIG10"
1,"SMPD3"
1,"HLA-DQB2"
1,"RSAD2"
1,"GSTM5"
1,"MYCNUT"
1,"NEIL1"
1,"NCOA1"
1,"CCDC120"
1,"SERPINB4"
1,"FAAH2"
1,"FBXO38-DT"
1,"LOC124901185"
1,"LRFN1"
1,"ZG16B"
1,"SLC10A1"
1,"CHD3"
1,"LDLRAD3"
1,"NPR2"
1,"TLK2P1"
1,"GBP2"
1,"PHF10"
1,"CST2"
1,"MAGED1"
1,"CHRNA3"
1,"EPS8L1"
1,"PARD3"
1,"METTL1"
1,"DUOX2"
